cpu_processing,mem_processing,RESIDUE,            TPR,CLASS
0.155,0.883,0.728,283,0
0.253,0.882,0.629,284,0
0.265,0.882,0.617,284,0
0.35,0.885,0.535,285,0
0.378,0.873,0.495,284,0
0.2,0.872,0.672,284,0
0.199,0.872,0.673,284,0
0.182,0.871,0.689,285,0
0.385,0.874,0.489,284,0
0.293,0.873,0.58,284,0
0.229,0.873,0.644,284,0
0.247,0.872,0.625,284,0
0.258,0.874,0.616,284,0
0.281,0.883,0.602,285,0
0.227,0.878,0.651,285,0
0.345,0.878,0.533,285,0
0.32,0.885,0.565,285,0
0.3,0.885,0.585,285,0
0.241,0.885,0.644,285,0
0.278,0.885,0.607,285,0
0.155,0.885,0.73,285,0
0.271,0.884,0.613,285,0
0.267,0.873,0.606,285,0
0.249,0.874,0.625,285,0
0.18,0.874,0.694,285,0
0.227,0.874,0.647,285,0
0.188,0.874,0.686,285,0
0.196,0.875,0.679,285,0
0.24,0.875,0.635,285,0
0.326,0.875,0.549,285,0
0.29,0.875,0.585,285,0
0.283,0.875,0.592,285,0
0.267,0.875,0.608,285,0
0.281,0.875,0.594,285,0
0.218,0.873,0.655,285,0
0.241,0.874,0.633,285,0
0.229,0.874,0.645,285,0
0.285,0.874,0.589,285,0
0.278,0.873,0.595,284,0
0.498,0.89,0.392,288,0
0.259,0.897,0.638,288,0
0.325,0.893,0.568,288,0
0.338,0.893,0.555,288,0
0.198,0.895,0.697,288,0
0.305,0.894,0.589,288,0
0.262,0.894,0.632,288,0
0.257,0.895,0.638,288,0
0.196,0.892,0.696,288,0
0.303,0.892,0.589,288,0
0.213,0.892,0.679,288,0
0.227,0.89,0.663,288,0
0.306,0.89,0.584,288,0
0.227,0.89,0.663,288,0
0.179,0.891,0.712,287,0
0.236,0.89,0.654,287,0
0.236,0.891,0.655,287,0
0.16,0.892,0.732,287,0
0.175,0.891,0.716,287,0
0.155,0.884,0.729,286,0
0.216,0.884,0.668,286,0
0.273,0.884,0.611,286,0
0.216,0.884,0.668,286,0
0.164,0.884,0.72,286,0
0.176,0.883,0.707,285,0
0.195,0.881,0.686,285,0
0.21,0.884,0.674,270,0
0.315,0.805,0.49,269,0
0.19,0.804,0.614,269,0
0.201,0.804,0.603,269,0
0.182,0.782,0.6,266,0
0.15,0.782,0.632,266,0
0.167,0.782,0.615,266,0
0.213,0.781,0.568,266,0
0.131,0.78,0.649,266,0
0.216,0.78,0.564,266,0
0.158,0.78,0.622,266,0
0.129,0.78,0.651,266,0
0.222,0.78,0.558,266,0
0.132,0.779,0.647,266,0
0.203,0.778,0.575,266,0
0.244,0.776,0.532,267,0
0.5,0.776,0.276,267,0
0.293,0.776,0.483,267,0
0.226,0.774,0.548,267,0
0.301,0.775,0.474,267,0
0.469,0.777,0.308,267,0
0.225,0.777,0.552,267,0
0.242,0.777,0.535,267,0
0.323,0.778,0.455,268,0
0.221,0.778,0.557,268,0
0.18,0.778,0.598,268,0
0.189,0.778,0.589,268,0
0.239,0.778,0.539,268,0
0.225,0.778,0.553,268,0
0.135,0.777,0.642,268,0
0.143,0.777,0.634,268,0
0.273,0.74,0.467,254,0
0.221,0.715,0.494,254,0
0.164,0.715,0.551,254,0
0.208,0.715,0.507,254,0
0.184,0.715,0.531,254,0
0.241,0.714,0.473,254,0
0.225,0.714,0.489,254,0
0.252,0.714,0.462,254,0
0.171,0.714,0.543,254,0
0.15,0.714,0.564,254,0
0.173,0.714,0.541,254,0
0.166,0.716,0.55,254,0
0.161,0.718,0.557,254,0
0.182,0.718,0.536,254,0
0.2,0.715,0.515,255,0
0.247,0.716,0.469,254,0
0.204,0.717,0.513,256,0
0.168,0.718,0.55,256,0
0.173,0.72,0.547,256,0
0.192,0.72,0.528,256,0
0.178,0.72,0.542,256,0
0.223,0.72,0.497,256,0
0.178,0.72,0.542,256,0
0.233,0.718,0.485,256,0
0.154,0.718,0.564,256,0
0.184,0.718,0.534,256,0
0.184,0.718,0.534,256,0
0.206,0.716,0.51,256,0
0.171,0.715,0.544,256,0
0.206,0.716,0.51,256,0
0.173,0.716,0.543,256,0
0.19,0.715,0.525,258,0
0.249,0.716,0.467,259,0
0.199,0.717,0.518,259,0
0.165,0.717,0.552,259,0
0.207,0.716,0.509,259,0
0.239,0.715,0.476,259,0
0.295,0.714,0.419,259,0
0.259,0.714,0.455,256,0
0.165,0.713,0.548,255,0
0.204,0.713,0.509,255,0
0.182,0.713,0.531,255,0
0.207,0.713,0.506,255,0
0.127,0.713,0.586,255,0
0.095,0.712,0.617,255,0
0.197,0.712,0.515,255,0
0.2,0.712,0.512,255,0
0.129,0.712,0.583,255,0
0.089,0.712,0.623,255,0
0.314,0.716,0.402,256,0
0.225,0.717,0.492,254,0
0.461,0.75,0.289,257,0
0.254,0.749,0.495,257,0
0.179,0.746,0.567,257,0
0.18,0.745,0.565,257,0
0.241,0.747,0.506,258,0
0.299,0.748,0.449,258,0
0.177,0.743,0.566,258,0
0.132,0.743,0.611,258,0
0.096,0.742,0.646,258,0
0.27,0.742,0.472,258,0
0.174,0.74,0.566,258,0
0.104,0.741,0.637,259,0
0.198,0.739,0.541,259,0
0.154,0.74,0.586,259,0
0.197,0.74,0.543,259,0
0.254,0.741,0.487,259,0
0.258,0.741,0.483,259,0
0.274,0.741,0.467,259,0
0.24,0.743,0.503,259,0
0.179,0.744,0.565,258,0
0.17,0.743,0.573,258,0
0.189,0.743,0.554,258,0
0.147,0.743,0.596,258,0
0.233,0.744,0.511,258,0
0.316,0.735,0.419,256,0
0.333,0.739,0.406,256,0
0.157,0.738,0.581,256,0
0.18,0.739,0.559,257,0
0.461,0.745,0.284,256,0
0.397,0.749,0.352,258,0
0.453,0.75,0.297,259,0
0.261,0.749,0.488,259,0
0.426,0.751,0.325,260,0
0.495,0.757,0.262,260,0
0.495,0.757,0.262,260,0
0.393,0.757,0.364,260,0
0.33,0.757,0.427,260,0
0.301,0.755,0.454,260,0
0.38,0.756,0.376,260,0
0.342,0.758,0.416,261,0
0.268,0.758,0.49,261,0
0.253,0.757,0.504,261,0
0.235,0.758,0.523,261,0
0.276,0.758,0.482,261,0
0.271,0.76,0.489,262,0
0.394,0.791,0.397,263,0
0.128,0.786,0.658,263,0
0.289,0.783,0.494,263,0
0.239,0.78,0.541,263,0
0.309,0.781,0.472,261,0
0.3,0.777,0.477,261,0
0.262,0.776,0.514,261,0
0.269,0.769,0.5,262,0
0.305,0.769,0.464,262,0
0.288,0.771,0.483,262,0
0.414,0.773,0.359,263,0
0.306,0.771,0.465,264,0
0.304,0.772,0.468,264,0
0.328,0.77,0.442,264,0
0.346,0.773,0.427,265,0
0.27,0.773,0.503,265,0
0.451,0.799,0.348,267,0
0.283,0.8,0.517,267,0
0.249,0.796,0.547,267,0
0.2,0.795,0.595,267,0
0.302,0.792,0.49,267,0
0.263,0.792,0.529,267,0
0.274,0.791,0.517,267,0
0.229,0.781,0.552,266,0
0.276,0.781,0.505,266,0
0.171,0.781,0.61,266,0
0.196,0.781,0.585,266,0
0.22,0.78,0.56,266,0
0.386,0.809,0.423,271,0
0.614,0.828,0.214,274,0
0.76,0.829,0.068,246,1
0.774,0.819,0.045,256,1
0.781,0.805,0.024,250,1
0.718,0.883,0.165,282,0
0.619,0.892,0.273,284,0
0.287,0.882,0.595,284,0
0.223,0.881,0.658,284,0
0.188,0.881,0.693,284,0
0.181,0.874,0.693,284,0
0.231,0.87,0.639,284,0
0.125,0.87,0.745,284,0
0.172,0.87,0.698,284,0
0.305,0.868,0.563,284,0
0.25,0.853,0.603,284,0
0.184,0.845,0.661,284,0
0.178,0.844,0.666,284,0
0.103,0.845,0.742,284,0
0.189,0.842,0.653,284,0
0.297,0.841,0.544,284,0
0.242,0.842,0.6,284,0
0.344,0.847,0.503,284,0
0.267,0.847,0.58,284,0
0.277,0.847,0.57,284,0
0.259,0.852,0.593,285,0
0.325,0.851,0.526,284,0
0.281,0.85,0.569,284,0
0.245,0.85,0.605,284,0
0.239,0.85,0.611,284,0
0.246,0.853,0.607,284,0
0.167,0.853,0.686,284,0
0.329,0.852,0.523,283,0
0.181,0.852,0.671,283,0
0.2,0.85,0.65,283,0
0.223,0.85,0.627,283,0
0.2,0.852,0.652,283,0
0.317,0.764,0.447,265,0
0.152,0.764,0.612,265,0
0.164,0.764,0.6,263,0
0.211,0.764,0.553,263,0
0.113,0.764,0.651,263,0
0.192,0.764,0.572,263,0
0.175,0.761,0.586,263,0
0.238,0.761,0.523,263,0
0.234,0.758,0.524,263,0
0.229,0.758,0.529,256,0
0.161,0.761,0.6,245,0
0.223,0.761,0.538,246,0
0.234,0.767,0.533,248,0
0.129,0.767,0.638,248,0
0.087,0.766,0.679,248,0
0.12,0.766,0.646,248,0
0.109,0.766,0.657,248,0
0.183,0.766,0.583,248,0
0.258,0.766,0.508,248,0
0.183,0.764,0.581,248,0
0.222,0.762,0.54,248,0
0.224,0.763,0.539,248,0
0.218,0.761,0.543,248,0
0.302,0.765,0.463,248,0
0.356,0.77,0.414,250,0
0.515,0.798,0.283,253,0
0.688,0.823,0.135,254,0
0.734,0.842,0.108,256,0
0.745,0.863,0.118,260,0
0.833,0.858,0.025,258,1
0.416,0.86,0.444,258,0
0.462,0.867,0.405,262,0
0.542,0.871,0.329,264,0
0.197,0.871,0.674,264,0
0.283,0.869,0.586,264,0
0.338,0.867,0.529,264,0
0.278,0.868,0.59,264,0
0.363,0.871,0.508,264,0
0.341,0.876,0.535,266,0
0.266,0.884,0.618,266,0
0.366,0.878,0.512,266,0
0.286,0.862,0.576,266,0
0.193,0.86,0.667,266,0
0.143,0.859,0.716,266,0
0.147,0.859,0.712,266,0
0.172,0.852,0.68,266,0
0.2,0.846,0.646,266,0
0.191,0.844,0.653,266,0
0.176,0.843,0.667,266,0
0.166,0.844,0.678,266,0
0.144,0.842,0.698,266,0
0.191,0.842,0.651,266,0
0.202,0.845,0.643,266,0
0.236,0.847,0.611,266,0
0.228,0.845,0.617,269,0
0.268,0.845,0.577,269,0
0.568,0.847,0.279,270,0
0.337,0.847,0.51,270,0
0.181,0.847,0.666,270,0
0.127,0.847,0.72,269,0
0.146,0.844,0.698,268,0
0.16,0.843,0.683,268,0
0.088,0.842,0.754,268,0
0.149,0.834,0.685,267,0
0.192,0.834,0.642,267,0
0.237,0.832,0.595,267,0
0.098,0.832,0.734,267,0
0.163,0.832,0.669,267,0
0.161,0.832,0.671,267,0
0.17,0.831,0.661,267,0
0.095,0.832,0.737,267,0
0.12,0.832,0.712,267,0
0.176,0.833,0.657,267,0
0.131,0.832,0.701,267,0
0.116,0.833,0.717,267,0
0.131,0.833,0.702,267,0
0.219,0.832,0.613,267,0
0.203,0.832,0.629,267,0
0.79,0.852,0.062,262,1
0.748,0.804,0.054,254,1
0.676,0.724,0.048,263,1
0.762,0.786,0.024,268,1
0.762,0.801,0.084,262,1
0.813,0.849,0.036,259,1
0.717,0.779,0.062,254,1
0.683,0.754,0.071,260,1
0.678,0.704,0.026,250,1
0.924,0.882,-0.042,254,1
0.862,0.867,0.005,261,1
0.821,0.832,0.011,246,1
0.798,0.801,0.003,253,1
0.845,0.872,0.027,253,1
0.956,0.872,-0.084,265,1
0.784,0.798,0.014,264,1
0.842,0.874,0.032,253,1
0.895,0.873,-0.022,204,1
0.924,0.854,-0.07,248,1
0.865,0.872,0.007,261,1
0.853,0.874,0.021,246,1
0.865,0.876,0.011,254,1
0.921,0.828,-0.093,261,1
0.865,0.868,0.003,243,1
0.81,0.819,0.009,252,1
0.846,0.805,-0.041,236,1
0.798,0.883,0.085,264,1
0.901,0.892,-0.009,245,1
0.879,0.882,0.003,244,1
0.864,0.881,0.017,251,1
0.823,0.881,0.058,259,1
0.87,0.874,0.004,258,1
0.924,0.87,-0.054,264,1
0.857,0.872,0.015,235,1
0.865,0.87,0.005,254,1
0.962,0.868,-0.094,254,1
0.845,0.853,0.008,261,1
0.864,0.845,-0.019,235,1
0.789,0.844,0.055,232,1
0.858,0.864,0.006,248,1
0.896,0.842,-0.054,249,1
0.912,0.841,-0.071,258,1
0.856,0.86,0.004,246,1
0.845,0.847,0.002,258,1
0.882,0.87,-0.012,263,1
0.879,0.847,-0.032,256,1
0.872,0.852,-0.02,261,1
0.79,0.851,0.061,257,1
0.848,0.85,0.002,268,1
0.676,0.762,0.086,249,1
0.762,0.85,0.088,238,1
0.824,0.853,0.029,252,1
0.813,0.853,0.04,248,1
0.817,0.852,0.035,267,1
0.883,0.852,-0.031,254,1
0.778,0.85,0.072,253,1
0.924,0.85,-0.074,251,1
0.862,0.852,-0.01,249,1
0.821,0.764,-0.057,261,1
0.798,0.764,-0.034,262,1
0.845,0.764,-0.081,235,1
0.956,0.864,-0.092,210,1
0.784,0.764,-0.02,248,1
0.842,0.764,-0.078,255,1
0.895,0.772,-0.123,262,1
0.924,0.761,-0.163,254,1
0.865,0.868,0.003,263,1
0.853,0.758,-0.095,268,1
0.865,0.761,-0.104,262,1
0.921,0.761,-0.16,259,1
0.865,0.767,-0.098,254,1
0.834,0.767,-0.067,260,1
0.746,0.766,0.02,250,1
0.798,0.766,-0.032,254,1
0.901,0.796,-0.105,261,1
0.89,0.866,-0.024,246,1
0.864,0.766,-0.098,253,1
0.823,0.764,-0.059,253,1
0.892,0.762,-0.13,265,1
0.924,0.763,-0.161,264,1
0.857,0.761,-0.096,253,1
0.865,0.765,-0.1,204,1
0.962,0.77,-0.192,248,1
0.845,0.798,-0.047,261,1
0.864,0.823,-0.041,246,1
0.789,0.842,0.053,254,1
0.858,0.863,0.005,261,1
0.896,0.858,-0.038,243,1
0.912,0.86,-0.052,252,1
0.856,0.867,0.011,236,1
0.845,0.871,0.026,264,1
0.852,0.871,0.019,245,1
